internalName,color
CAST_DotNet_FieldCSharp,"rgb(23, 134, 0)"
CAST_DotNet_ConstantCSharp,"rgb(23, 134, 0)"
CAST_DotNet_EventCSharp,"rgb(23, 134, 0)"
CAST_DotNet_EventAddonCSharp,"rgb(23, 134, 0)"
CAST_DotNet_EventRemoveonCSharp,"rgb(23, 134, 0)"
CAST_DotNet_MethodCSharp,"rgb(23, 134, 0)"
CAST_DotNet_IndexerCSharp,"rgb(23, 134, 0)"
CAST_DotNet_ClassBrowser,"rgb(148, 0, 255)"
CAST_DotNet_FileBrowser,"rgb(148, 0, 255)"
CAST_DotNet_ProjectReferences,"rgb(148, 0, 255)"
CAST_DotNet_Directory,"rgb(148, 0, 255)"
CAST_ABAP_SAPModule,"rgb(232, 39, 4)"
CAST_DotNet_IndexerSetterCSharp,"rgb(23, 134, 0)"
CAST_DotNet_IndexerGetterCSharp,"rgb(23, 134, 0)"
CAST_DotNet_GenericInterfaceCSharp,"rgb(23, 134, 0)"
CAST_DotNet_GenericStructureCSharp,"rgb(23, 134, 0)"
CAST_DotNet_GenericDelegateCSharp,"rgb(23, 134, 0)"
CAST_DotNet_GenericClassCSharp,"rgb(23, 134, 0)"
CAST_DotNet_GenericMethodCSharp,"rgb(23, 134, 0)"
CAST_DotNet_TypeParameterCSharp,"rgb(23, 134, 0)"
CAST_DotNet_SkinControlType,"rgb(148, 0, 255)"
CAST_DotNet_GlobalNamespace,"rgb(148, 0, 255)"
CAST_DotNet_InstantiatedGenericInterfaceCSharp,"rgb(23, 134, 0)"
CAST_DotNet_InstantiatedGenericClassCSharp,"rgb(23, 134, 0)"
CAST_DotNet_InstantiatedGenericStructureCSharp,"rgb(23, 134, 0)"
CAST_DotNet_InstantiatedGenericDelegateCSharp,"rgb(23, 134, 0)"
CAST_DotNet_AppSettingType,"rgb(148, 0, 255)"
CAST_SAP_BAPI,"rgb(170, 86, 196)"
CAST_SAP_BAPI_METHOD,"rgb(170, 86, 196)"
CAST_SAP_BAPI_KEY_FIELD,"rgb(170, 86, 196)"
